Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
UNICEF ,UNICEF United Nations Children's Fund  ,Turkey,1000000,500000,500000,NFIs,Shelter and NFIs,UN,Turkey
WHO ,WHO World Health Organization,Turkey,2000000,750000,1250000,Health,Health and Nutrition,UN,Turkey
UNFPA ,UNFPA United Nations Population Fund,Turkey,400000,200000,200000,SGBV Programmes,Protection,UN,Turkey
UNFPA ,UNFPA United Nations Population Fund,Turkey,600000,300000,300000,Health,Health and Nutrition,UN,Turkey
UNFPA ,UNFPA United Nations Population Fund,Turkey,1000000,500000,500000,NFIs,Shelter and NFIs,UN,Turkey
UN Women,UN Women,Turkey,264600,106920,157680,Protection,Protection,UN,Turkey
GIZ ,GIZ Gesellschaft für Internationale Zusammenarbeit,Serbia,69600,34800,34800,Support to local communities,Local Community Support,IGO,Serbia
Foundation Ana and Vlade Divac,Foundation Ana and Vlade Divac,Serbia,207815.8,103907.9,103907.9,Support to local communities,Local Community Support,NGO,Serbia
Standing conference of Towns and Municipalities,Standing conference of Towns and Municipalities,Serbia,402000,195000,207000,Support to local communities,Local Community Support,NGO,Serbia
Standing conference of Towns and Municipalities,Standing conference of Towns and Municipalities,Serbia,48000,30000,18000,Operational Support (Support to local communities),Operational Support,NGO,Serbia
DRC,DRC Danish Refugee Council,Serbia,96702.9,96702.9,,Support to local communities,Local Community Support,INGO,Serbia
UNOPS ,UNOPS United Nations Office for Project Services,Serbia,2116000,1058000,1058000,Support to local communities,Local Community Support,UN,Serbia
UNOPS ,UNOPS United Nations Office for Project Services,Serbia,184000,92000,92000,Operational Support (Support to local communities) ,Operational Support,UN,Serbia
UNDP ,UNDP United Nations Development Programme,Serbia,2116000,1058000,1058000,Support to local communities,Local Community Support,UN,Serbia
UNDP ,UNDP United Nations Development Programme,Serbia,184000,92000,92000,Operational Support  (Support to local communities),Operational Support,UN,Serbia
WHO ,WHO World Health Organization,fYR Macedonia,650000,374500,275500,Health,Health and Nutrition,UN,Macedonia
OHCHR ,OHCHR Office of the High Commissioner for Human Rights,fYR Macedonia,60000,30000,30000,Protection,Protection,UN,Macedonia
UNICEF ,UNICEF United Nations Children's Fund  ,fYR Macedonia,1850000,925000,925000,Child Protection,Protection,UN,Macedonia
UNICEF ,UNICEF United Nations Children's Fund  ,fYR Macedonia,1600000,800000,800000,Health,Health and Nutrition,UN,Macedonia
UNICEF ,UNICEF United Nations Children's Fund  ,fYR Macedonia,1575000,1050000,525000,Shelter and Infrastructure,Shelter and NFIs,UN,Macedonia
UNICEF ,UNICEF United Nations Children's Fund  ,fYR Macedonia,1700000,900000,800000,WASH,WASH,UN,Macedonia
UNICEF ,UNICEF United Nations Children's Fund  ,fYR Macedonia,200000,100000,100000,Operational support ,Operational Support,UN,Macedonia
UNFPA ,UNFPA United Nations Population Fund,fYR Macedonia,257000,100000,157000,SGBV,Protection,UN,Macedonia
UNFPA ,UNFPA United Nations Population Fund,fYR Macedonia,402000,200000,202000,Health,Health and Nutrition,UN,Macedonia
UNFPA ,UNFPA United Nations Population Fund,fYR Macedonia,216000,108000,108000,Hygiene,WASH,UN,Macedonia
MYLA ,MYLA Macedonian Young Lawyers' Association,fYR Macedonia,125091,54833,70258,Protection,Protection,NGO,Macedonia
GIZ ,GIZ Gesellschaft für Internationale Zusammenarbeit,fYR Macedonia,424316,424316,0,Waste Disposal,WASH,IGO,Macedonia
GIZ ,GIZ Gesellschaft für Internationale Zusammenarbeit,fYR Macedonia,424316,424316,0,Protection,Protection,IGO,Macedonia
DRC,DRC Danish Refugee Council,fYR Macedonia,17647.05882,17647.05882,0,Protection,Protection,INGO,Macedonia
DRC,DRC Danish Refugee Council,fYR Macedonia,141176.4706,141176.4706,0,NFIs,Shelter and NFIs,INGO,Macedonia
DRC,DRC Danish Refugee Council,fYR Macedonia,41176.47059,41176.47059,0,Hygiene,WASH,INGO,Macedonia
Dorcas,Dorcas,fYR Macedonia,1260000,630000,630000,Food Distribution,Food,INGO,Macedonia
Legis,Legis,fYR Macedonia,953078.6517,476539.3258,476539.3258,Food Distribution,Food,INGO,Macedonia
Legis,Legis,fYR Macedonia,517977.5281,258988.764,258988.764,NFIs,Shelter and NFIs,INGO,Macedonia
Legis,Legis,fYR Macedonia,372943.8202,186471.9101,186471.9101,Hygiene,WASH,INGO,Macedonia
AGAPE,Agape,fYR Macedonia,547500,273750,273750,Food Distribution,Food,NGO,Macedonia
UN Women,UN Women,fYR Macedonia,315600,147600,168000,SGBV,Protection,UN,Macedonia
UN Women,UN Women,fYR Macedonia,26248,11808,14440,Operational Support,Operational Support,UN,Macedonia
Operation Mercy,Operation Mercy,fYR Macedonia,21166,21166,0,Food Distribution,Food,NGO,Macedonia
Operation Mercy,Operation Mercy,fYR Macedonia,26453,26453,0,NFIs,Shelter and NFIs,NGO,Macedonia
Operation Mercy,Operation Mercy,fYR Macedonia,37041,37041,0,Infrastructure,Shelter and NFIs,NGO,Macedonia
Arbeiter Samariter Bund Deutschland e.V./PREDA Plus,Arbeiter Samariter Bund Deutschland e.V./PREDA Plus,fYR Macedonia,211850,105925,105925,Food Distribution,Food,INGO,Macedonia
Nun Kultura,Nun Kultura,fYR Macedonia,1261975,630987.5,630987.5,Food Distribution,Food,NGO,Macedonia
Nun Kultura,Nun Kultura,fYR Macedonia,374300,187150,187150,NFIs,Shelter and NFIs,NGO,Macedonia
Nun Kultura,Nun Kultura,fYR Macedonia,108000,54000,54000,Hygiene,WASH,NGO,Macedonia
La Strada,La Strada,fYR Macedonia,581395.3488,290697.6744,290697.6744,Protection,Protection,INGO,Macedonia
