Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
PRAKSIS,PRAKSIS,Greece,6671526.061,3343247.814,3328278.248,Food,Food,NGO,Greece
PRAKSIS,PRAKSIS,Greece,2118753.175,933612.1448,1185141.03,Health,Health and Nutrition,NGO,Greece
Samaritan Purse,Samaritan Purse,Croatia,5122353.6,3019673.3,2102680.3,NFIs,Shelter and NFIs,INGO,Croatia
Samaritan Purse,Samaritan Purse,Croatia,2681916.6,1564037.8,1117878.7,WASH,WASH,INGO,Croatia
SCI ,SCI Save the Children,Serbia,761869.7937,177190.8257,584678.968,NFIs,Shelter and NFIs,INGO,Serbia
SCI ,SCI Save the Children,Serbia,1070588.808,725711.2351,344877.5724,Protection,Protection,INGO,Serbia
SCI ,SCI Save the Children,Greece,5137714.573,2647428.752,2490285.822,Child Protection,Protection,INGO,Greece
SCI ,SCI Save the Children,Greece,4852171.692,2176085.863,2676085.83,Food,Food,INGO,Greece
SCI ,SCI Save the Children,Greece,1217142.925,608571.47,608571.4548,Nutrition,Health and Nutrition,INGO,Greece
SCI ,SCI Save the Children,Greece,1714285.81,857142.9156,857142.8941,Transport,"Logistics, Transport, Telecomms",INGO,Greece
SCI ,SCI Save the Children,Croatia,124394.3666,62197.14757,62197.219,Protection,Protection,INGO,Croatia
SCI ,SCI Save the Children,Croatia,911372.4504,546823.739,364548.7114,Health ,Health and Nutrition,INGO,Croatia
SCI ,SCI Save the Children,Croatia,567837.1831,339921.1134,227916.0696,Shelter and Infrastructure,Shelter and NFIs,INGO,Croatia
SLOGA ,SLOGA Slovenian Development and Humanitarian NGO Platform,Slovenia ,169000,82000,87000,Coordination,Protection,NGO,Slovenia
Slovenian Philanthropy,Slovenian Philanthropy ,Slovenia ,408376.8277,204188.4139,204188.4139,Protection,Protection,NGO,Slovenia
Slovenian Philanthropy,Slovenian Philanthropy ,Slovenia ,30439.17225,15219.58613,15219.58613,Health and Nutrition,Health and Nutrition,NGO,Slovenia
Slovenian Red Cross,Slovenian Red Cross ,Slovenia ,104054.0541,52027.02703,52027.02703,Protection,Protection,NGO,Slovenia
Slovenian Red Cross,Slovenian Red Cross ,Slovenia ,178378.3784,89189.18919,89189.18919,Health ,Health and Nutrition,NGO,Slovenia
Slovenian Red Cross,Slovenian Red Cross ,Slovenia ,148648.6486,74324.32432,74324.32432,Food Assistance ,Food,NGO,Slovenia
Slovenian Red Cross,Slovenian Red Cross ,Slovenia ,118918.9189,59459.45946,59459.45946,Logistics and Transport,"Logistics, Transport, Telecomms",NGO,Slovenia
Solidarity Now,Solidarity Now,Greece,248262.1766,182845.7831,65416.39344,Protection,Protection,NGO,Greece
Solidarity Now,Solidarity Now,Greece,393169.2672,302939.759,90229.5082,Communication with Communities,Protection,NGO,Greece
Solidarity Now,Solidarity Now,Greece,600568.5562,412214.4578,188354.0984,Shelter,Shelter and NFIs,NGO,Greece
SOS Children's Villages Serbia,SOS Children's Villages Serbia,Serbia,339950,203950,136000,NFIs,Shelter and NFIs,INGO,Serbia
SOS Children's Villages Serbia,SOS Children's Villages Serbia,Serbia,14200,8500,5700,Operational Support,Shelter and NFIs,INGO,Serbia
Standing conference of Towns and Municipalities,Standing conference of Towns and Municipalities,Serbia,402000,195000,207000,Support to local communities,Local Community Support,NGO,Serbia
Standing conference of Towns and Municipalities,Standing conference of Towns and Municipalities,Serbia,48000,30000,18000,Operational Support (local community support),Local Community Support,NGO,Serbia
UN Women,UN Women,Serbia,535754.6845,404209.5943,131545.0902,Protection,Protection,UN,Serbia
UN Women,UN Women,Serbia,45568,23024,22544,Operational Support,Operational Support,UN,Serbia
UN Women,UN Women,Turkey,264600,106920,157680,Protection,Protection,UN,Turkey
UN Women,UN Women,Serbia,170200,87400,82800,Support to local communities,Local Community Support,UN,Serbia
